Algorithm,SUT,failures_mean,failures_std,critical_ratio_mean,critical_ratio_std
LUNAR,chatbmw_gpt-4o,120.66666666666667,44.47321291144443,0.370878993523921,0.11079360981520558
LUNAR_S,chatbmw_gpt-4o,73.83333333333333,6.080021929785012,0.27776845765499397,0.02294198601497797
SENSEI,chatbmw_gpt-4o,31.375,4.808846015417836,0.1094258163457428,0.01624404962511943
LUNAR,chatbmw_gpt-5-chat,137.0,54.87804661246608,0.2924987984895097,0.11487635227282289
LUNAR_S,chatbmw_gpt-5-chat,114.0,25.984610830258745,0.2784887997120679,0.06993768253230306
SENSEI,chatbmw_gpt-5-chat,11.333333333333334,2.7325202042558927,0.04718029395179019,0.006131104032997174
